Name,Relevant Metrics
Serve as much load as possible during hazard,
Serve as much critical load as possible during hazard,
Reduce dependency on fuel imports,
Serve as many customers as possible during hazard,
Prevent damage to infrastructure,
Prevent damage to cyber assets,
Protect sensitive business information,
Protect sensitive customer information,
,
,
